date,description,amount
2024-01-02,BP Gas,-39.05
2024-01-04,Uber Trip,-20.08
2024-01-11,Walgreens,-16.96
2024-01-18,Chipotle,-13.53
2024-01-19,REI Co-op,-123.51
2024-01-20,BP Gas,-56.02
2024-01-20,Target,-37.49
2024-01-25,Payment from checking,306.64
2024-02-01,Amazon.com,-61.93
2024-02-06,Best Buy,-196.26
2024-02-07,Chipotle,-16.16
2024-02-14,REI Co-op,-73.9
2024-02-15,Uber Trip,-24.83
2024-02-17,Spotify Premium,-10.99
2024-02-23,Walgreens,-16.82
2024-02-25,Payment from checking,400.89
2024-03-01,Steam,-39.49
2024-03-11,Chipotle,-10.5
2024-03-11,REI Co-op,-77.41
2024-03-11,Walgreens,-16.17
2024-03-17,Whole Foods Market,-51.28
2024-03-18,Target,-58.97
2024-03-25,Payment from checking,253.82
2024-04-01,REI Co-op,-45.81
2024-04-03,Best Buy,-92.81
2024-04-03,Uber Trip,-17.44
2024-04-05,REI Co-op,-110.94
2024-04-06,Steam,-23.31
2024-04-08,Best Buy,-129.8
2024-04-19,Amazon.com,-27.28
2024-04-19,Chipotle,-12.48
2024-04-25,Payment from checking,459.87
2024-05-03,Blue Bottle Coffee,-7.69
2024-05-07,Amazon.com,-41.51
2024-05-10,Whole Foods Market,-77.74
2024-05-12,Netflix,-15.99
2024-05-15,REI Co-op,-62.0
2024-05-17,Whole Foods Market,-57.84
2024-05-21,Netflix,-15.99
2024-05-22,Spotify Premium,-10.99
2024-05-25,Payment from checking,289.75
2024-06-05,Chipotle,-15.6
2024-06-05,Shell Gas Station,-45.1
2024-06-12,BP Gas,-39.12
2024-06-13,REI Co-op,-100.12
2024-06-15,Walgreens,-12.96
2024-06-16,BP Gas,-55.77
2024-06-17,Walgreens,-18.51
2024-06-22,Netflix,-15.99
2024-06-25,Payment from checking,303.17
2024-07-01,Amazon.com,-59.07
2024-07-03,Spotify Premium,-10.99
2024-07-08,Walgreens,-22.59
2024-07-12,Best Buy,-150.66
2024-07-12,Blue Bottle Coffee,-4.51
2024-07-21,Uber Trip,-12.23
2024-07-22,Steam,-11.49
2024-07-23,Walgreens,-13.16
2024-07-25,Payment from checking,284.7
2024-08-08,Netflix,-15.99
2024-08-11,REI Co-op,-39.18
2024-08-19,BP Gas,-53.87
2024-08-19,Walgreens,-16.4
2024-08-20,Shell Gas Station,-47.43
2024-08-21,Steam,-20.1
2024-08-23,REI Co-op,-109.48
2024-08-24,Amazon.com,-68.13
2024-08-25,Payment from checking,370.58
2024-09-03,Amazon.com,-59.87
2024-09-06,Amazon.com,-30.88
2024-09-13,Shell Gas Station,-53.43
2024-09-18,Walgreens,-18.83
2024-09-19,Steam,-17.64
2024-09-24,Netflix,-15.99
2024-09-25,Payment from checking,196.64
2024-10-05,Steam,-20.64
2024-10-11,Spotify Premium,-10.99
2024-10-12,Walgreens,-28.45
2024-10-14,Chipotle,-13.68
2024-10-16,Uber Trip,-15.38
2024-10-18,Spotify Premium,-10.99
2024-10-22,Chipotle,-12.47
2024-10-22,Steam,-9.7
2024-10-25,Payment from checking,122.3
2024-11-06,REI Co-op,-123.1
2024-11-10,REI Co-op,-55.2
2024-11-10,Uber Trip,-23.47
2024-11-12,Best Buy,-198.75
2024-11-16,Chipotle,-14.79
2024-11-21,Shell Gas Station,-44.73
2024-11-21,Whole Foods Market,-69.31
2024-11-25,Payment from checking,529.35
2024-12-01,Uber Trip,-9.24
2024-12-03,Uber Trip,-18.06
2024-12-08,Target,-76.85
2024-12-10,Whole Foods Market,-68.87
2024-12-15,Shell Gas Station,-56.84
2024-12-19,BP Gas,-38.89
2024-12-25,Payment from checking,268.75
